Cod_INEtxt;Cod_iNEok;Mun;F2018Total;SuperfKm2;NOMBRE_ACT;Mun_NomCod;F2018Dens;Var91_18aa;Var91_18;Envejecimi;Bebes;Altitud;Pob18;Evo18;Envj18;Bebes18;M174_18;Pendiente;Alt3;Pend;M174_2018;Alt_0;Pend_0;M174_18_4;Cod_Prov;Envej18_2;Env2;Dif_env;M174_3;Dif_M174;M174_3_4;Dif_4;SSPA
16126;16126;16126-Mira;926,00000000000;212,86179300000;Mira;16126;4,35024053377;-0,89685251913;-21,59187129550;256,86274509800;2,48380129590;830,00000000000;3;2;2;2;11;13,77000000000;2;1;12;2;1;2;16;2;256,86274509800;0;12;0;2;0;1
42165;42165;42165-San Pedro Manrique;617,00000000000;176,19899400000;San Pedro Manrique;42165;3,50172260348;0,61405377524;17,97323135760;145,97701149400;5,67260940032;1074,00000000000;3;1;2;1;10;22,92000000000;3;3;13;3;3;3;42;1;145,97701149400;0;12;-1;2;-1;1
42166;42166;42166-Santa Cruz de Yanguas;58,00000000000;33,51803700000;Santa Cruz de Yanguas;42166;1,73041159898;-0,74622722676;-18,30985915490;766,66666666700;0,00000000000;1218,00000000000;3;2;3;3;14;24,51000000000;3;3;17;3;3;4;42;3;766,66666666700;0;17;0;4;0;1
42167;42167;42167-Santa Mar├¡a de Huerta;267,00000000000;49,15466600000;Santa Mar├¡a de Huerta;42167;5,43183428405;-2,55476019055;-50,27932960890;617,64705882400;1,49812734082;765,00000000000;3;3;3;3;14;9,05000000000;2;1;15;2;1;4;42;3;617,64705882400;0;15;0;4;0;1
42168;42168;42168-Santa Mar├¡a de las Hoyas;102,00000000000;45,40975800000;Santa Mar├¡a de las Hoyas;42168;2,24621324782;-2,65625204026;-51,65876777250;4800,00000000000;0,00000000000;1073,00000000000;3;3;3;3;15;10,46000000000;3;1;16;3;1;4;42;3;4800,00000000000;0;16;0;4;0;1
42171;42171;42171-Ser├│n de N├ígima;138,00000000000;60,16323400000;Ser├│n de N├ígima;42171;2,29375967389;-3,48897889173;-61,66666666670;566,66666666700;1,44927536232;938,00000000000;3;3;3;3;14;9,24000000000;2;1;15;2;1;4;42;3;566,66666666700;0;15;0;4;0;1
16094;16094;16094-Gascue├▒a;154,00000000000;51,81032400000;Gascue├▒a;16094;2,97238056261;-1,07171050963;-25,24271844660;238,09523809500;1,29870129870;932,00000000000;3;2;3;3;13;10,61000000000;2;1;14;2;1;3;16;2;238,09523809500;0;13;-1;3;0;1
44222;44222;44222-Torrecilla del Rebollar;127,00000000000;63,44813700000;Torrecilla del Rebollar;44222;2,00163481553;-1,64964093855;-36,18090452260;6000,00000000000;0,00000000000;1144,00000000000;3;3;3;3;15;10,37000000000;3;1;16;3;1;4;44;3;6000,00000000000;0;16;0;4;0;1
44223;44223;44223-Torre de Arcas;89,00000000000;34,27951800000;Torre de Arcas;44223;2,59630255011;-1,47681160266;-33,08270676690;385,71428571400;1,12359550562;745,00000000000;3;3;3;3;14;21,64000000000;2;3;17;2;3;4;44;2;385,71428571400;0;16;-1;4;0;1
44224;44224;44224-Torre de las Arcas;28,00000000000;37,16555600000;Torre de las Arcas;44224;0,75338574243;-1,57631661966;-34,88372093020;300,00000000000;0,00000000000;944,00000000000;3;3;3;3;14;17,49000000000;2;2;16;2;2;4;44;2;300,00000000000;0;15;-1;4;0;1
44225;44225;44225-Torre del Compte;132,00000000000;19,45723100000;Torre del Compte;44225;6,78411023645;-1,61718112407;-35,60975609760;662,50000000000;3,03030303030;498,00000000000;3;3;2;2;11;9,68000000000;1;1;12;1;1;2;44;3;662,50000000000;-1;13;1;3;1;1
44226;44226;44226-Torrelac├írcel;154,00000000000;35,53620000000;Torrelac├írcel;44226;4,33360910846;-3,06602581477;-56,86274509800;822,22222222200;3,24675324675;980,00000000000;3;3;3;2;13;4,94000000000;2;1;14;2;1;3;44;3;822,22222222200;0;14;0;3;0;1
44227;44227;44227-Torre los Negros;88,00000000000;29,15208800000;Torre los Negros;44227;3,01865170001;-0,54530776548;-13,72549019610;1300,00000000000;0,00000000000;1087,00000000000;3;2;3;3;14;13,67000000000;3;1;15;3;1;4;44;3;1300,00000000000;0;15;0;4;0;1
44228;44228;44228-Torremocha de Jiloca;107,00000000000;33,94355000000;Torremocha de Jiloca;44228;3,15229255632;-2,32599898104;-47,02970297030;820,00000000000;1,86915887850;980,00000000000;3;3;3;2;13;10,01000000000;2;1;14;2;1;3;44;3;820,00000000000;0;14;0;3;0;1
44183;44183;44183-Pitarque;79,00000000000;54,34514400000;Pitarque;44183;1,45367173928;-1,96498171470;-41,48148148150;520,00000000000;0,00000000000;994,00000000000;3;3;3;3;14;23,80000000000;2;3;17;2;3;4;44;3;520,00000000000;0;17;0;4;0;1
44184;44184;44184-Plou;43,00000000000;17,21402000000;Plou;44184;2,49796386899;-0,90746144967;-21,81818181820;600,00000000000;2,32558139535;917,00000000000;3;2;3;2;12;8,34000000000;2;1;13;2;1;3;44;3;600,00000000000;0;13;0;3;0;1
44185;44185;44185-Pobo, El;114,00000000000;63,59949300000;El Pobo;44185;1,79246711920;-1,46910178915;-32,94117647060;333,33333333300;1,75438596491;1400,00000000000;3;3;2;3;14;9,18000000000;3;1;15;3;1;4;44;2;333,33333333300;0;15;0;4;0;1
44187;44187;44187-Portellada, La;243,00000000000;21,36931900000;La Portellada;44187;11,37144332960;-1,36310491801;-30,96590909090;278,12500000000;5,34979423868;568,00000000000;3;3;2;1;11;16,59000000000;1;2;12;1;2;2;44;2;278,12500000000;0;12;0;2;0;1
